Name,Link Product,Store,Type,Author Name,Short Description,Publisher,Translators,Categories,Width,Length,Height,Product ID,Price,Original Price,Discount,Discount Rate,Rating,Review Count,Quantity Sold,Number of page,Range Price,Publication Date,Publication Year
Phi Lý Trí - Khám Phá Những Động Lực Vô Hình Ẩn Sau Những Quyết Định Của Con Người ( Tái Bản),https://tiki.vn/phi-ly-tri-kham-pha-nhung-dong-luc-vo-hinh-an-sau-nhung-quyet-dinh-cua-con-nguoi-tai-ban-p147058065.html?spid=147058066,Tiki Trading,simple,Dan Ariely,"Phi lý trí của Dan Ariely là một cuốn sách đặc biệt hấp dẫn và đầy cảm hứng. Nó buộc người đọc phải suy nghĩ kỹ hơn về tất cả những hành vi, những sai lầm của mình để sống hợp lý và tốt đẹp hơn. Vì th...",Alphabooks,"Hồng Lê, Phương Lan",Sách tư duy - Kỹ năng sống,13.0,20.5,0.0,147058065,116000,169000,53000,31,4.8,185,1657.0,404.0,Mức 3,2021-12-01 00:00:00,2021.0
Dưới Cánh Cửa Thầm Thì,https://tiki.vn/duoi-canh-cua-tham-thi-p249160355.html?spid=249160357,Tiki Trading,simple,TJ Klune,"DƯỚI CÁNH CỬA THẦM THÌ“Tác phẩm mới nhất của Klune, người chiến thắng Giải thưởng Văn học Lambda, là một câu chuyện chiến thắng về nỗi đau, mất mát và bước tiếp. Độc giả sẽ khóc và bị mê hoặc bởi nhữ...",Asbooks,Jack Frogg,Tiểu Thuyết,14.0,20.5,0.0,249160355,148000,199000,51000,26,5.0,47,496.0,664.0,Mức 3,2023-04-01 00:00:00,2023.0
Thần Số Học,https://tiki.vn/than-so-hoc-p136143567.html?spid=136143570,Tiki Trading,simple,Hans Decoz,"Ngày sinh, ngày tốt nghiệp, số nhà, số đăng ký xe, số sổ hộ khẩu, số căn cước công dâ vô vàn con số hiện diện xung quanh chúng ta mỗi ngày, và có một vài con số nhất định liên tục lặp lại. Bạn đã từng...",Booklife,Từ Uyển Linh,Sách Chiêm Tinh - Horoscope,16.0,24.0,0.0,136143567,141700,219000,77300,35,4.8,282,2403.0,392.0,Mức 3,2021-11-01 00:00:00,2021.0
Ăn Uống Đúng Cách: Bộ Quy Tắc Ẩm Thực Lành Mạnh,https://tiki.vn/an-uong-dung-cach-bo-quy-tac-am-thuc-lanh-manh-p58441509.html?spid=63670686,Nhà sách Fahasa,simple,Michael Pollan,"Cuốn cẩm nang này đưa ra một bộ quy tắc dễ hiểu, dễ nhớ để chúng ta ăn uống một cách thông minh, mỗi trang một quy tắc kèm theo giải thích ngắn gọn. Một cuốn sách cần phải có, trả lời cho câu hỏi muôn...",Nhã Nam,Quỳnh Chi.,Sách tiếng Việt,14.0,20.5,0.0,58441509,98600,116000,17400,15,5.0,12,129.0,170.0,Mức 2,2022-03-03 00:00:00,2022.0
Thương Tiến Cửu - Tập 4,https://tiki.vn/thuong-tien-cuu-tap-4-p271920454.html?spid=271920455,Tiki Trading,simple,Đường Tửu Khanh,"Giới thiệu: “Vận mệnh đã muốn ta suốt kiếp chôn chân tại chốn này, nhưng số mệnh ấy nào phải con đường ta lựa chọn. Cát vàng chôn vùi huynh đệ ta, ta không muốn tiếp tục thần phục số mệnh hư vô nữa. ...",Cẩm Phong Books,Hy Mã,Truyện đam mỹ,14.0,20.5,0.0,271920454,123900,169000,45100,27,5.0,3,22.0,424.0,Mức 3,2021-04-01 00:00:00,2021.0
World Religions - Tôn Giáo Thế Giới,https://tiki.vn/world-religions-ton-gia-o-the-gio-i-p271337381.html?spid=271337382,Tiki Trading,simple,John Bowker,“TÔN GIÁO THẾ GIỚI”:• Chuyến du ngoạn đầy màu sắc về đức tin• Bản tóm lược tuyệt vời về mọi tôn giáo trên thế giớiBạn quan tâm đến đạo Phật? Bối rối về Cơ đốc giáo và Do Thái giáo? Tò mò về Hồi giáo...,Zenbooks,Dương Nguyên Phương Uyên,Sách Tôn Giáo - Tâm Linh,19.5,23.5,0.0,271337381,342000,430000,88000,20,4.3,6,86.0,352.0,Mức 5,2023-08-01 00:00:00,2023.0
"Gác lại âu lo, tự do tài chính",https://tiki.vn/gac-lai-au-lo-tu-do-tai-chinh-p271495376.html?spid=271495377,Tiki Trading,simple,Claer Barrett,"""Gác lại âu lo tự do tài chính"" của Claer Barrett là cuốn sách dành cho bất kỳ ai muốn kiểm soát tài chính của mình và xây dựng mối quan hệ tốt hơn với tiền bạc. Cuốn sách này là một luồng gió mới tro...",Alphabooks,Unknown,Bài học kinh doanh,16.0,24.0,0.0,271495376,176000,179000,3000,2,0.0,0,1.0,250.0,Mức 4,2023-08-01 00:00:00,2023.0
Không Gia Đình (Bìa Mềm),https://tiki.vn/khong-gia-dinh-bia-mem-p172175803.html?spid=172175804,Tiki Trading,simple,Hector Malot,"không gia đình kể về chuyện đời  Rémi, một cậu bé không cha mẹ, họ hàng thân thích. Sau khi phải rời khỏi vòng tay của người má nuôi, em đã đi theo đoàn xiếc thú của cụ già Vitalis tốt bụng. Kể từ đó,...",Nhà sách Minh Thắng,"Nguyễn Vị Hà Linh, Giang Hà Vị",Tác phẩm kinh điển,16.0,24.0,0.0,172175803,93800,145000,51200,35,4.8,39,399.0,532.0,Mức 2,2022-01-01 00:00:00,2022.0
Combo 2 Cuốn: Bạn Không Thông Minh Lắm Đâu +  Bạn Đỡ Ngu Ngơ Rồi Đấy (Tái Bản) ,https://tiki.vn/combo-2-cuon-ban-khong-thong-minh-lam-dau-ban-do-ngu-ngo-roi-day-tai-ban-p109793160.html?spid=109793161,Tiki Trading,simple,David McRaney,Combo Bạn không thông minh lắm đâu & Bạn đỡ ngu ngơ rồi đấy (Tái bản)Combo sách Tâm lý học nhận thức:“Bạn Không Thông Minh Lắm Đâu” được phát triển từ trang blog nổi tiếng của tác giả David McRa...,Read Books,Voldy,Sách tiếng Việt,14.0,20.5,0.0,109793160,180000,268000,88000,33,5.0,464,2633.0,794.0,Mức 4,2021-07-01 00:00:00,2021.0
Thị Trấn Vắng Mình Tôi - 8,https://tiki.vn/thi-tran-vang-minh-toi-8-p214077250.html?spid=214077252,Tiki Trading,configurable,SANBE KEI,"Gặp lại Airi, cánh cổng khóa chặt kí ức của Satoru đã được khai thông. Đồng thời điểm đó, tên hung thủ thật sự cũng đã biết tin anh tỉnh lại và đang gấp rút chuẩn bị một kế hoạch mới. Vụ án dài đằng đ...",IPM,Kim Ngân,"Truyện Tranh, Manga, Comic",15.0,15.0,0.0,214077250,35700,58000,22300,38,5.0,16,157.0,210.0,Mức 1,2023-01-01 00:00:00,2023.0
Combo 5 Ream giấy IK Yellow đa năng A4 70 gsm (500 tờ) - Hàng nhập khẩu Indonesia,https://tiki.vn/combo-5-ream-giay-ik-yellow-da-nang-a4-70-gsm-500-to-hang-nhap-khau-indonesia-p262730790.html?spid=262730791,Thiên Long Official Store,simple,Unknown,"Thông Số Kỹ Thuật:Thương hiệuIKKích thướcA4Định lượng70 gsmQuy cách500 tờ / reamKhuyến cáoNhiệt độ: 10 ~ 55º C, Độ ẩm: 55 ~ 95% RH.Giấy IK Yellow đa dạng kích thước và định lượng, chất lượn...",Others,Unknown,Giấy in - Fax - Photo,11.3,17.6,0.0,262730790,350000,430000,80000,19,0.0,0,57.0,408.5788395904437,Mức 5,2023-11-08 00:00:00,2023.0
The Secret - Bí Mật (Tái Bản 2022),https://tiki.vn/the-secret-bi-mat-tai-ban-2022-p204416863.html?spid=204416864,Nhà sách Fahasa,simple,Rhonda Byrne,"    Liệu Luật hấp dẫn có thực sự là một bí mật? Bạn có thể nghĩ rằng nó chỉ là một thứ huyền bí vớ vẩn, nhưng trong sách Kinh thánh cũng có một câu nói rất kinh điển, “Người có ước mơ, luôn nhận đư...",Công ty Cổ Phần Thiên Minh Book,Unknown,Root,16.0,24.0,0.0,204416863,238400,298000,59600,20,5.0,13,197.0,408.5788395904437,Mức 5,2023-04-04 00:00:00,2023.0
Vẻ Đẹp Của Sự Vừa Đủ,https://tiki.vn/ve-dep-cua-su-vua-du-p192474352.html?spid=192474353,Tiki Trading,simple,Rachel Wilkerson Miller,"Vẻ đẹp của sự vừa đủ - Thấu hiểu bản thân để yêu mình, yêu người đúng cách“Trên thế giới này đã có quá nhiều kẻ độc ác vui sướng vì được làm tổn thương chúng ta rồi, chúng ta thực sự không cần làm vi...",Skybook,Hoàng Dung,Sách nghệ thuật sống đẹp,15.7,24.0,0.0,192474352,105000,136000,31000,23,4.8,32,265.0,320.0,Mức 3,2022-07-01 00:00:00,2022.0
Những Tấm Lòng Cao Cả,https://tiki.vn/nhung-tam-long-cao-ca-p626886.html?spid=626888,Tiki Trading,simple,Edmondo De Amicis,Những Tấm Lòng Cao CảNhững tấm lòng cao cả (Cuore) ra đời từ những năm 80 của thế kỷ 19 đã làm cho tên tuổi nhà văn Edmondo De Amicis (1846 - 1908) trở nên nổi tiếng khắp thế giới.Cho đến nay tác ph...,Huy Hoàng Bookstore,Unknown,Sách tiếng Việt,13.5,20.5,0.0,626886,50900,80000,29100,36,4.8,931,9836.0,143.0,Mức 2,2017-04-17 00:00:00,2017.0
Series Thám Tử Kỳ Phát: Đám Cưới Kỳ Phát,https://tiki.vn/series-tham-tu-ky-phat-dam-cuoi-ky-phat-p4687527.html?spid=52162164,Phúc Minh Books,simple,Unknown,"VỀ TÁC PHẨMĐám cưới Kỳ Phát là một trong năm cuốn thuộc bộ truyện Thám tử Kỳ Phát của “Vua truyện trinh thám Việt Nam” Phạm Cao Củng.Một buổi sáng, Kỳ Phát tình cờ nhìn thấy Thanh Ngọc trên sân ga v...",Phúc Minh,Unknown,Sách tiếng Việt,13.0,20.5,0.0,4687527,48500,97000,48500,50,4.8,54,249.0,284.0,Mức 1,2018-09-18 00:00:00,2018.0
"All The Rule - Bình Tĩnh Khi Ế, Mạnh Mẽ Khi Yêu",https://tiki.vn/all-the-rule-binh-tinh-khi-e-manh-me-khi-yeu-p7916685.html?spid=7916686,Tiki Trading,simple,"Ellen Fein, Sherrie Scheneider","TUYỆT CHIÊU THOÁT Ế CHO CÔ NÀNG LẬN ĐẬN TÌNH DUYÊNCỨ 5 PHỤ NỮ MỸ HẠNH PHÚC THÌ CÓ 2 NGƯỜI ÁP DỤNG “THE RULES” TỪ CUỐN SÁCH NÀY! Cuốn sách dành cho những người “lận đận tình duyên” , cho những cô gái...",Skybooks,Hiểu Tường,Sách tiếng Việt,13.0,19.0,0.0,7916685,66500,86000,19500,23,4.7,782,19427.0,250.0,Mức 2,2018-11-30 14:07:54,2018.0
30 Tuổi - Mọi Thứ Chỉ Mới Bắt Đầu,https://tiki.vn/30-tuoi-moi-thu-chi-moi-bat-dau-p220665663.html?spid=220665664,Tiki Trading,simple,Lý Thượng Long,"30 TUỔI - MỌI THỨ CHỈ MỚI BẮT ĐẦU “Bởi vì, ba mươi tuổi mọi thứ chỉ mới bắt đầu. Đừng sợ đau khổ. Tất cả những khổ đau phải trải qua ở tuổi đôi mươi đều là món quà của cuộc sống.”Những khởi đầu ở tu...",Saigon Books,Nguyễn Thị Kim Phượng,Sách tư duy - Kỹ năng sống,14.0,20.5,0.0,220665663,99400,135000,35600,26,4.8,24,287.0,332.0,Mức 2,2023-02-02 00:00:00,2023.0
Combo Mind Map English Grammar – Ngữ pháp tiếng anh bằng sơ đồ tư duy Và Từ Vựng Tiếng Anh Qua Sơ Đồ Tư Duy - Nghe Qua App (NHH),https://tiki.vn/combo-mind-map-english-grammar-ngu-phap-tieng-anh-bang-so-do-tu-duy-va-tu-vung-tieng-anh-qua-so-do-tu-duy-nghe-qua-app-nhh-p106700958.html?spid=180604935,MCBooks Hạnh Phúc,simple,Đỗ Nhung,Sách - Combo Mind Map English Grammar – Ngữ pháp tiếng anh bằng sơ đồ tư duy Và Từ Vựng Tiếng Anh Qua Sơ Đồ Tư Duy + App1. Mind Map English Grammar – Ngữ pháp tiếng anh bằng sơ đồ tư duyCông ty phát...,MCBOOKS,Unknown,Sách Học Tiếng Anh,13.0,19.0,0.0,106700958,252200,388000,135800,35,5.0,29,249.0,335.0,Mức 5,2023-09-22 00:00:00,2023.0
Luật Của Một – Vũ Trụ Trong Mỗi Chúng Ta,https://tiki.vn/luat-cua-mot-vu-tru-trong-moi-chung-ta-p262806663.html?spid=262806664,Tiki Trading,simple,Carla L. Rueckert,"Hành trình của chúng ta ở kiếp sống này là một trò chơi thú vị. Hãy cứ dấn thân và học hỏi.Nếu bạn từng có suy nghĩ rằng sự tồn tại của mình thật nhỏ bé, những gì mình đang làm chỉ là một vòng lặp nh...",Skybooks,Thanh Huyền,Lĩnh vực khác,15.7,24.0,0.0,262806663,122000,155000,33000,21,5.0,9,105.0,336.0,Mức 3,2023-05-17 00:00:00,2023.0
Collins - Get Ready For IELTS - Reading,https://tiki.vn/collins-get-ready-for-ielts-reading-p365780.html?spid=62651,Tiki Trading,simple,Els Van Geyte,Collins - Get Ready For IELTS - ReadingWho is this book for?Get Ready for IELTS Reading has been written for learners with a band score of 3 or 4 who want to achieve a higher score. Using this book ...,Nhân Trí Việt,Unknown,Sách Học Tiếng Anh,19.0,25.0,0.0,365780,101000,136000,35000,26,4.8,199,2733.0,136.0,Mức 3,2013-04-15 00:00:00,2013.0
Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,https://tiki.vn/tam-ly-hoc-phac-hoa-chan-dung-ke-pham-toi-p106863963.html?spid=108957058,Nhà sách Fahasa,simple,Diệp Hồng Vũ,"TÂM LÝ HỌC TỘI PHẠM - PHÁC HỌA CHÂN DUNG KẺ PHẠM TỘITội phạm, nhất là những vụ án mạng, luôn là một chủ đề thu hút sự quan tâm của công chúng, khơi gợi sự hiếu kỳ của bất cứ ai. Một khi đã bắt đầu th...",BeBooks,Đỗ Ái Nhi,Sách tiếng Việt,16.0,24.0,0.0,106863963,101500,145000,43500,30,5.0,608,2459.0,280.0,Mức 3,2021-06-12 00:00:00,2021.0
Một Thoáng Ta Rực Rỡ Ở Nhân Gian,https://tiki.vn/mot-thoang-ta-ruc-ro-o-nhan-gian-p147920903.html?spid=147920904,Tiki Trading,simple,Unknown,"“Vuong thực sự có thiên tài quan sát.” The New York Times“Với một xuất thân bên rìa hết sức xa lạ, Vuong đã viết nên một tác phẩm trữ tình về quá trình tự khám phá chính mình, vừa thành thật đến choá...",Nhã Nam,Unknown,Sách tiếng Việt,14.0,20.5,0.0,147920903,93500,135000,41500,31,4.8,1935,12769.0,304.0,Mức 2,2021-12-01 00:00:00,2021.0
Dẫn Dắt - Lãnh Đạo Chứ Không Quản Lý (Tái Bản),https://tiki.vn/dan-dat-lanh-dao-chu-khong-quan-ly-tai-ban-p48629531.html?spid=58589006,Nhà sách Fahasa,simple,Alex Ferguson - Michael Moritz,Làm thế nào để dẫn dắt một tập thể giành được những thành công ở tầm thế giới trong suốt một thời gian dài? Sir Alex Ferguson là một trong số rất hiếm hoi những nhà lãnh đạo làm được điều này! Trong s...,NXB Trẻ,Unknown,Sách tiếng Việt,15.5,23.0,0.0,48629531,153000,180000,27000,15,5.0,12,55.0,404.0,Mức 4,2020-02-02 00:00:00,2020.0
Nuôi dạy con không quát mắng - Bản Quyền,https://tiki.vn/sach-nuoi-day-con-khong-quat-mang-nha-nam-ban-quyen-p272201344.html?spid=272366971,Bamboo Books,simple,Unknown,Tác giả: Kishimi IchiroDịch giả: Ngọc HânNhà xuất bản: Phụ nữSố trang: 207Kích thước: 14 x 20.5cmNgày phát hành: 21-09-2023Giới thiệu sáchNuôi dạy con cái đòi hỏi thật sự kiên nhẫn dài lâu và rất nhi...,Nhã Nam,Unknown,Sách Làm Cha Mẹ,10.0,14.5,0.0,272201344,89100,99000,9900,10,0.0,0,1370.416976127321,408.5788395904437,Mức 2,2022-06-01 00:00:00,2022.0
Người Tan Làm Sau Cùng Là Người Nghỉ Việc Đầu Tiên (Tặng kèm bookmark),https://tiki.vn/nguoi-tan-lam-sau-cung-la-nguoi-nghi-viec-dau-tien-tang-kem-bookmark-p160081252.html?spid=160081253,Tiki Trading,simple,Uy Liêm,"Không ngoa nếu như nói công việc sẽ là thứ gắn liền với cuộc đời bạn lâu hơn bất kỳ thứ gì khác. Ở độ tuổi từ khoảng 20-50, bạn sẽ gặp đồng nghiệp nhiều hơn gặp bố mẹ mình, thế giới của bạn sẽ thu gọn...",Skybooks,Sen Sean,Sách tiếng Việt,14.5,20.5,0.0,160081252,90000,119000,29000,24,4.8,212,1533.0,328.0,Mức 2,2022-01-01 00:00:00,2022.0
Bài tập bổ trợ Tiếng Anh 3 Extra and Friends,https://tiki.vn/bai-tap-bo-tro-tieng-anh-3-extra-and-friends-p198787061.html?spid=198787063,Dtpbooks,simple,Unknown,Sách bài tập bổ trợ Tiếng Anh 3 Extra and Friends được biên soạn với mục tiêu mang đến cho các em học sinh nguồn bài tập bổ trợ phong phú theo sát chương trình học. Các bài tập được thiết kế theo các ...,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Unknown,ELTs,14.0,20.5,0.0,198787061,89000,89000,0,0,5.0,1,93.0,408.5788395904437,Mức 2,2021-03-15 00:00:00,2021.0
Trồng Một Nụ Cười - Cùng Trẻ Thực Hành Chánh Niệm,https://tiki.vn/trong-mot-nu-cuoi-cung-tre-thuc-hanh-chanh-niem-p137241842.html?spid=137241848,Tiki Trading,configurable,Thích Nhất Hạnh,"Hiện nay, vai trò của chánh niệm trong giáo dục ngày càng được công nhận một cách rộng rãi. Sự thực tập chánh niệm giúp học sinh tăng cường khả năng chú tâm, ý thức và làm chủ được các hoạt động của t...",Thái Hà,"Chân Vịnh Nghiêm, Chân Tại Nghiêm, Chân Trăng Mai Thôn",Sách Tôn Giáo - Tâm Linh,15.0,23.0,0.0,137241842,142000,199000,57000,29,5.0,189,1877.0,312.0,Mức 3,2021-11-01 00:00:00,2021.0
Cô Bạn Tôi Thầm Thích Lại Quên Mang Kính Rồi Tập 10 [Tặng Kèm Standee],https://tiki.vn/co-ban-toi-tham-thich-lai-quen-mang-kinh-roi-tap-10-tang-kem-standee-p271537819.html?spid=271537820,Tiki Trading,simple,Koume Fujichika,"Mie gần đây không quên kính nữa. Hôm nay, Komura nhất định sẽ thổ lộ điều ấp ủ bấy lâu với cô gái ngồi cạnh mà cậu thầm thích. Và như vậy, một ngày đầy nghị lực của Komura bắt đầu....",Kim Đồng,Linh Trần,"Truyện Tranh, Manga, Comic",13.0,18.0,0.0,271537819,36100,38000,1900,5,5.0,1,16.0,408.5788395904437,Mức 1,2023-08-09 00:00:00,2023.0
Combo Giáo Trình Chuẩn HSK 2 - Bài Học (Kèm 1 MP3) và Giáo Trình HSK 2 - Sách Bài Tập (Kèm MP3) ( Tặng Kèm Viết ),https://tiki.vn/combo-giao-trinh-chuan-hsk-2---bai-hoc--kem-1-mp3--va-giao-trinh-hsk-2---sach-bai-tap--kem-mp3----tang-kem-viet---p11368983.html?spid=11368984,NHBook,simple,Khương Lệ Bình,"Combo Giáo Trình Chuẩn HSK 2 - Bài Học (Kèm MP3) và Giáo Trình HSK 2 - Sách Bài Tập (Kèm MP3) ( Tặng Kèm Viết )Bản đặc biệt tặng kèm bút BTS , Mẫu ngẫu nhiên và số lượng có hạn.Lưu ý: quét mã QR trê...",Nhân Trí Việt,Unknown,Sách Học Tiếng Hoa,21.0,28.5,0.0,11368983,308800,386000,77200,20,5.0,333,1807.0,312.0,Mức 5,2018-03-08 00:03:03,2018.0
Ổn Định Hay Tự Do,https://tiki.vn/on-dinh-hay-tu-do-p105483727.html?spid=105483803,Tiki Trading,simple,Trương Học Vĩ,"ỔN ĐỊNH HAY TỰ DO (Yên ổn bạn thích không cho bạn được cuộc đời như mong muốn) - cuốn sách Best-seller dành cho thế hệ GEN Z, tiếp nối Hãy khiến tương lai biết ơn vì hiện tại bạn đã cố gắng hết mình. ...",Peachbooks, Hoa Lộc,Sách tiếng Việt,14.5,20.5,0.0,105483727,93100,129000,35900,28,5.0,1013,5474.0,284.0,Mức 2,2021-06-15 00:00:00,2021.0
Hành Lý Hư Vô,https://tiki.vn/hanh-ly-hu-vo-p16440471.html?spid=22652077,Nhà sách Fahasa,simple,Nguyễn Ngọc Tư,Hành lý hư vô.Đó là thứ duy nhất có thể mang theo.Vào đúng khi bạn nhận ra có bao nhiêu đồ đạc cũng chẳng lấp nổi biển trong lòng.Vào đúng khi bạn có quá nhiều thứ để nhìn nhận lại trước và trong n...,NXB Trẻ,Unknown,Sách tiếng Việt,13.0,20.0,0.0,16440471,82700,95000,12300,13,4.8,25,184.0,164.0,Mức 2,2019-05-01 00:00:00,2019.0
Bác Sĩ Riêng Của Bé Yêu - Chào Con! Ba Mẹ Đã Sẵn Sàng (Tái Bản),https://tiki.vn/bac-si-rieng-cua-be-yeu-chao-con-ba-me-da-san-sang-tai-ban-p49910019.html?spid=51031067,Nhà sách Fahasa,simple,BS. Trần Thị Huyên Thảo,"""Chào con! Ba mẹ đã sẵn sàng!"" - Cuốn sách không chỉ được viết trên nền tảng khoa học của một bác sĩ mà còn chứa chan tình yêu của một người mẹ.Chắc chắn bạn cũng sẽ cảm nhận được những điểm hay và ...",NXB Trẻ,Unknown,Sách tiếng Việt,15.5,23.0,0.0,49910019,77900,95000,17100,18,5.0,82,759.0,224.0,Mức 2,2020-03-02 00:00:00,2020.0
Xứ Sở Diệu Kỳ Tàn Bạo Và Chốn Tận Cùng Thế Giới (Tái Bản),https://tiki.vn/xu-so-dieu-ky-tan-bao-va-chon-tan-cung-the-gioi-tai-ban-p76776251.html?spid=76776252,Tiki Trading,simple,Haruki Murakami,"Sơ lược về tác phẩmSao vầng dương còn chói sáng?Chim chóc vẫn ca vang?Chúng không hay thế giới sắp lụi tàn?“The End of the World”, nhạc và lời: Sylvia Dee/Arthur KentMột tác phẩm khoa học giả tưởng...",Nhã Nam,Lê Quang,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,14.0,20.5,0.0,76776251,125000,169000,44000,26,5.0,241,1115.0,620.0,Mức 3,2021-01-01 00:00:00,2021.0
Vui Vẻ Không Quạu Nha - Tản Văn,https://tiki.vn/vui-ve-khong-quau-nha-tan-van-p50751279.html?spid=50751280,Tiki Trading,simple,Ở Đây Zui Nè,Cuộc đời ngày ngày nói yêu mình.Xong cuộc đời lại đủ thứ phức tạp và bất công với mình.Vậy là cuộc đời ghét mình rồi!Thôi nào!Thả lỏng và tận hưởng sự vui vẻ đi. Vì chẳng pha...,Skybooks,Unknown,Truyện ngắn - Tản văn - Tạp Văn,10.0,12.0,0.0,50751279,48100,69000,20900,30,4.7,5319,33109.0,280.0,Mức 1,2020-03-01 15:21:54,2020.0
Tự Truyện Benjamin Franklin (Tái Bản),https://tiki.vn/tu-truyen-benjamin-franklin-tai-ban-p3082815.html?spid=3083073,Tiki Trading,simple,Unknown,"Tự Truyện Benjamin Franklin (Tái Bản 2018)""Mười bảy tuổi, tôi khăn gói thu xếp hành lý cùng lên tàu với anh. Sau ba ngày lênh đênh trên biển, từ Boston, chúng tôi đã đến New York. Nhưng đáng tiếc, tạ...",Omega Plus,Unknown,Sách tiếng Việt,13.0,20.5,0.0,3082815,74700,109000,34300,31,4.8,515,3556.0,238.0,Mức 2,2020-08-01 00:00:00,2020.0
Giáo Trình Chuẩn HSK 4 Bài Học (Tập 2),https://tiki.vn/giao-trinh-chuan-hsk-4-bai-hoc-tap-2-p595726.html?spid=595744,Tiki Trading,simple,Khương Lệ Bình,"Giáo Trình Chuẩn HSK 4 Bài Học (Tập 2)GIÁO TRÌNH CHUẨN HSK chia thành 6 cấp độ với tổng cộng 18 cuốn, có những đặc điểm nổi bật sau:Kết hợp thi cử và giảng dạy: Được biên soạn phù hợp với nội dung, ...",Nhân Trí Việt,Unknown,Sách tiếng Việt,21.0,28.5,0.0,595726,179000,238000,59000,25,5.0,269,2040.0,163.0,Mức 4,2020-03-04 15:29:58,2020.0
Science Encyclopedia - Bách Khoa Thư Về Khoa Học - Trái Đất Và Vũ Trụ,https://tiki.vn/science-encyclopedia-bach-khoa-thu-ve-khoa-hoc-trai-dat-va-vu-tru-p46932182.html?spid=58241211,Nhà sách Fahasa,simple,.,"Các bạn hãy khám phá Trái Đất - nơi có những đại dương mênh mông, những lục địa đang chuyển động, sự tồn tại của các sinh vật sống và vũ trụ - khoảng không gian vô cùng tận ẩn chứa bao điều bí mật ở t...",Đinh Tị,Unknown,Sách tiếng Việt,21.0,27.2,0.0,46932182,54400,68000,13600,20,5.0,23,115.0,408.5788395904437,Mức 2,2020-01-21 00:00:00,2020.0
Bách Khoa Toàn Thư Thực Hành Hội Họa,https://tiki.vn/bach-khoa-toan-thu-thuc-hanh-hoi-hoa-p191770386.html?spid=191770387,Tiki Trading,simple,Jean Arestein,"Môn nghệ thuật tạo hình giàu sức biểu cảm và sáng tạo, đó là sự kết hợp giữa những đường nét, màu sắc, hình thể, để có một bố cục hoàn hả với các chất liệu như chì, màu nước, sơn dầ, nhưng trên hết là...",VanLangBooks,Trịnh Phương Thảo,Mỹ Thuật - Kiến Trúc,19.0,27.0,0.0,191770386,141100,218000,76900,35,5.0,36,293.0,320.0,Mức 3,2022-07-01 00:00:00,2022.0
Practice Test Grade 8,https://tiki.vn/practice-test-level-8-p151597178.html?spid=151597179,Dtpbooks,simple,Unknown,Khách mua hàng sau khi nhận hàng vui lòng liên hệ lại shop để nhận file nghe và answer key.Practice Tests là bộ đề kiểm tra Tiếng Anh gồm 4 cấp độ dành cho học sinh trung học cơ sở. Bộ sách này được...,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Unknown,ELTs,14.5,20.5,0.0,151597178,118000,118000,0,0,4.8,11,215.0,408.5788395904437,Mức 3,2023-01-01 00:00:00,2023.0
Nam Ngọt Bắc Mặn Thanh Đạm Là Mỹ Vị Nhân Gian,https://tiki.vn/nam-man-bac-ngot-thanhh-dam-la-my-vi-nhan-gian-p117002777.html?spid=117002778,Tiki Trading,simple,Unknown,"Món ăn ngon cũng có ký ức, mượn hình ảnh, óc sáng tạo của người làm bếp cùng hương vị, từ đó khơi gợi nguồn gốc của những món ăn xưất kể con tạo xoay vần, thế sự thay đổi ra sao, hương vị tinh túy vẫn...",Huy Hoàng Bookstore,Lê Linh,Sách Nấu ăn,13.5,20.5,0.0,117002777,133000,158000,25000,16,5.0,21,186.0,420.0,Mức 3,2021-08-01 00:00:00,2021.0
"Tây du ký, Hộp 3 tập",https://tiki.vn/tay-du-ky-hop-3-tap-p210143419.html?spid=210143420,Tiki Trading,simple,"Ngô Thừa Ân, Chu Thiên","Tây du ký là do chuyện một đồ đệ Phật giáo đi lấy kinh phát triển, biến diễn ra mà có. Trong quá trình phát triển ở dân gian, đặc biệt là sau khi đã qua tay Ngô Thừa n gọt giũa lại, câu chuyện đi lấy ...",Công Ty Cổ Phần Văn Hóa Đông A,Thụy Đình,Tác phẩm kinh điển,16.0,24.0,0.0,210143419,466000,650000,184000,28,5.0,33,223.0,1972.0,Mức 5,2022-12-01 00:00:00,2022.0
Combo 3 Cuốn: Hiệu Ứng Chim Mồi Tập 1 + 2 + 3,https://tiki.vn/combo-3-cuon-hieu-ung-chim-moi-tap-1-2-3-p73810559.html?spid=73810560,Tiki Trading,simple,"Quốc Khánh, Hạo Nhiên","Bộ combo Hiệu ứng chim mồi Tập 1-2-3 trong hộp Ecoblader, với lời giới thiệu:Người ta hay coi lý thuyết và kinh nghiệm thực tiễn là hai thứ hoàn toàn đối nghịch nhau. Người đi theo hướng lý thuyết th...",Ecoblader,Unknown,Sách Marketing - Bán hàng,14.0,20.0,0.0,73810559,185000,265000,80000,30,5.0,362,1897.0,408.5788395904437,Mức 4,2018-05-24 18:05:38,2018.0
